id,name,isMain,word_id
59636,-,0,22587
59637,-,0,22592
59638,-,0,22606
59639,-,0,22610
59640,-,0,22645
59641,-,0,22680
59642,-,0,22684
59643,-,0,22704
59644,-,0,22716
59645,-,0,22734
59646,-,0,22742
59647,-,0,22745
59648,-,0,22769
59649,-,0,22801
59650,-,0,22813
59651,-,0,22817
59652,-,0,22858
59653,-,0,22904
59654,-,0,22909
59655,-,0,22960
59656,-,0,22968
59657,-,0,22975
59658,-,0,22980
59659,-,0,23021
59660,-,0,23022
59661,-,0,23159
59662,-,0,23170
59663,-,0,23196
59664,-,0,23211
59665,-,0,23217
59666,-,0,23256
59667,-,0,23284
59668,-,0,23321
59669,-,0,23332
59670,-,0,23369
59671,-,0,23386
59672,-,0,23389
59673,-,0,23391
59674,-,0,23411
59675,-,0,23472
59676,-,0,23473
59677,-,0,23475
59678,-,0,23483
59679,-,0,23582
59680,-,0,23588
59681,-,0,23596
59682,-,0,23621
59683,-,0,23630
59684,-,0,23680
59685,-,0,23699
59686,-,0,23700
59687,-,0,23711
59688,-,0,23718
59689,-,0,23721
59690,-,0,23725
59691,-,0,23728
59692,-,0,23781
59693,-,0,23801
59694,-,0,23833
59695,-,0,23900
59696,-,0,23922
59697,-,0,23969
59698,-,0,23985
59699,-,0,24002
59700,-,0,24003
59701,-,0,24030
